id,curriculo_id,registro_academico,nome,nome_normalizado,forma_ingresso_id,forma_evasao_id,data_matricula,data_conclusao,data_colacao,ira,created_at,updated_at
572,3,GRR92608404,Regiane Monteiro,REGIANEMONTEIRO,9,1,2014-01-27,,,0.6648,2024-11-12 20:04:44.103743,2024-11-12 20:04:44.103750
573,4,GRR60123657,Rita De Sousa,RITADESOUSA,12,15,2022-05-18,,,0.8559,2024-11-12 20:04:47.097737,2024-11-12 20:04:47.097744
574,4,GRR82542654,Darci Braga,DARCIBRAGA,12,15,2022-05-18,,,0.6703,2024-11-12 20:04:47.107447,2024-11-12 20:04:47.107455
575,4,GRR50328540,Alana Pimentel,ALANAPIMENTEL,12,15,2020-01-25,,,0.193,2024-11-12 20:04:44.119206,2024-11-12 20:04:44.119214
576,4,GRR38123990,Luciano Costa,LUCIANOCOSTA,12,4,2018-01-12,,,0.0,2024-11-12 20:04:44.124376,2024-11-12 20:04:44.124384
577,3,GRR95489344,Luan Bonfim,LUANBONFIM,12,9,2017-01-12,2022-05-07,2022-07-18,0.7921,2024-11-12 20:04:44.129499,2024-11-12 20:04:44.129507
578,4,GRR44660563,Lauro Da Silva,LAURODASILVA,12,9,2018-01-12,2022-09-17,2023-02-24,0.8637,2024-11-12 20:04:44.134856,2024-11-12 20:04:44.134864
579,4,GRR75806856,Sheila Fonseca,SHEILAFONSECA,12,15,2022-04-01,,,0.6723,2024-11-12 20:04:47.133465,2024-11-12 20:04:47.133472
580,4,GRR51959698,Everaldo Brito,EVERALDOBRITO,12,1,2017-01-12,,,0.2412,2024-11-12 20:04:44.145422,2024-11-12 20:04:44.145430
581,4,GRR02406394,Rosemeire Arruda,ROSEMEIREARRUDA,10,15,2019-02-15,,,0.5421,2024-11-12 20:04:47.138413,2024-11-12 20:04:47.138420
582,4,GRR01817981,Micael Lemos,MICAELLEMOS,12,12,2017-01-12,,,0.2125,2024-11-12 20:04:44.155052,2024-11-12 20:04:44.155059
583,3,GRR39228280,Roberto Lima,ROBERTOLIMA,12,9,2016-01-29,2021-12-18,2022-03-25,0.6759,2024-11-12 20:04:44.160349,2024-11-12 20:04:44.160360
584,5,GRR03575371,Leidiane Baptista,LEIDIANEBAPTISTA,10,15,2023-03-17,,,0.9345,2024-11-12 20:04:47.148930,2024-11-12 20:04:47.148937
585,3,GRR31441272,Geralda Rabelo,GERALDARABELO,10,1,2018-02-21,,,0.3173,2024-11-12 20:04:44.170505,2024-11-12 20:04:44.170511
586,4,GRR06148257,Andre Viana,ANDREVIANA,12,15,2019-01-17,,,0.8903,2024-11-12 20:04:47.153662,2024-11-12 20:04:47.153670
587,4,GRR32561315,Cecilia Simoes,CECILIASIMOES,12,9,2017-01-12,2021-12-18,2022-03-25,0.8227,2024-11-12 20:04:44.180682,2024-11-12 20:04:44.180690
588,5,GRR15242211,Gleison Barboza,GLEISONBARBOZA,12,15,2023-03-03,,,0.9913,2024-11-12 20:04:47.159471,2024-11-12 20:04:47.159479
589,4,GRR91262639,Ian Mariano,IANMARIANO,12,15,2019-01-17,,,0.6866,2024-11-12 20:04:47.164511,2024-11-12 20:04:47.164519
590,4,GRR05109269,Anderson Araújo,ANDERSONARAUJO,12,1,2018-01-12,,,0.3349,2024-11-12 20:04:44.196201,2024-11-12 20:04:44.196209
591,3,GRR71947551,Laisa De Morais,LAISADEMORAIS,12,4,2016-01-08,,,0.5524,2024-11-12 20:04:44.200964,2024-11-12 20:04:44.200971
592,4,GRR09464662,Jandira Mota,JANDIRAMOTA,12,10,2020-01-25,,,0.0,2024-11-12 20:04:44.206892,2024-11-12 20:04:44.206900
593,4,GRR55030256,Almir Rossi,ALMIRROSSI,12,15,2020-01-25,,,0.9085,2024-11-12 20:04:47.169789,2024-11-12 20:04:47.169796
594,4,GRR98059749,Gabriela De Franca,GABRIELADEFRANCA,12,1,2018-01-12,,,0.1723,2024-11-12 20:04:44.217035,2024-11-12 20:04:44.217042
595,4,GRR98738612,Cleidiane Do Espirito Santo,CLEIDIANEDOESPIRITOSANTO,12,1,2016-01-29,,,0.3152,2024-11-12 20:04:44.221659,2024-11-12 20:04:44.221666
596,4,GRR75702277,Caue De Almeida,CAUEDEALMEIDA,12,15,2020-02-15,,,0.8312,2024-11-12 20:04:47.179864,2024-11-12 20:04:47.179871
597,3,GRR08724753,Deise Pontes,DEISEPONTES,12,1,2016-01-08,,,0.8453,2024-11-12 20:04:44.232271,2024-11-12 20:04:44.232279
598,5,GRR82489442,Wilma Tomaz,WILMATOMAZ,12,15,2023-03-03,,,0.9027,2024-11-12 20:04:47.185409,2024-11-12 20:04:47.185418
599,3,GRR28258616,Virginia Guerra,VIRGINIAGUERRA,12,15,2017-01-12,,,0.5227,2024-11-12 20:04:47.190713,2024-11-12 20:04:47.190721
600,4,GRR33208765,Moacir Matias,MOACIRMATIAS,12,15,2022-04-01,,,0.6787,2024-11-12 20:04:44.250297,2024-11-12 20:04:44.250304
601,5,GRR44062284,Catarina Muniz,CATARINAMUNIZ,12,15,2023-03-03,,,0.0,2024-11-12 20:04:44.255715,2024-11-12 20:04:44.255723
602,4,GRR22252314,Zuleide Souza,ZULEIDESOUZA,12,15,2019-01-17,,,0.762,2024-11-12 20:04:44.261061,2024-11-12 20:04:44.261069
603,4,GRR72349706,Danielle Amaral,DANIELLEAMARAL,12,15,2021-09-20,,,0.3106,2024-11-12 20:04:47.202120,2024-11-12 20:04:47.202128
604,4,GRR23826151,Carmen Marques,CARMENMARQUES,10,15,2017-03-03,,,0.3317,2024-11-12 20:04:44.271280,2024-11-12 20:04:44.271288
605,3,GRR08977905,George De Morais,GEORGEDEMORAIS,10,15,2017-02-03,,,0.5988,2024-11-12 20:04:47.207811,2024-11-12 20:04:47.207819
606,4,GRR39935383,Nelson De Albuquerque,NELSONDEALBUQUERQUE,12,15,2022-04-01,,,0.6007,2024-11-12 20:04:47.213577,2024-11-12 20:04:47.213586
607,5,GRR79639568,Caique De Assis,CAIQUEDEASSIS,12,15,2023-03-03,,,0.8491,2024-11-12 20:04:47.229713,2024-11-12 20:04:47.229721
